Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/tg68_ddraddr[25:1],openaars_virtual_top/tg68_cpustate_2[1:0],openaars_virtual_top/tg68_ddrcs,openaars_virtual_top/tg68_cpustate[6:3],openaars_virtual_top/tg68_cuds,openaars_virtual_top/tg68_clds,openaars_virtual_top/tg68_cin[15:0],openaars_virtual_top/tg68_ddrout[15:0],openaars_virtual_top/tg68_ddrena,openaars_virtual_top/tg68_ddrready,openaars_virtual_top/ddr3_dbg_req_rd,openaars_virtual_top/ddr3_dbg_req_be[15:0],openaars_virtual_top/ddr3_dbg_req_addr[31:0],openaars_virtual_top/ddr3_dbg_req_wdata[127:0],openaars_virtual_top/ddr3_dbg_resp_rdata[127:0],openaars_virtual_top/ddr3_dbg_ack_tgl,openaars_virtual_top/ddr3_dbg_bstate[1:0],openaars_virtual_top/ddr3_dbg_sdr_read_req,openaars_virtual_top/ddr3_dbg_sdr_read_ack,openaars_virtual_top/ddr3_dbg_sdr_dat_r[15:0],openaars_virtual_top/ddr3_dbg_sdr_write_req,openaars_virtual_top/ddr3_dbg_sdr_write_ack,openaars_virtual_top/ddr3_dbg_sdr_adr[25:1],openaars_virtual_top/ddr3_dbg_sdr_dat_w[31:0],openaars_virtual_top/ddr3_dbg_sdr_dqm_w[3:0],openaars_virtual_top/g_ddr3_fastram_ila.ddr3_dbg_cdc_state[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
1,1,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
2,2,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
3,3,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
4,4,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
5,5,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
6,6,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
7,7,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
8,8,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
9,9,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
10,10,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
11,11,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
12,12,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
13,13,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
14,14,0,001ca07,1,1,4,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
15,15,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
16,16,0,001ca07,1,1,3,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
17,17,0,001ca07,1,1,1,1,1,0423,0333,0,1,1,0000,00e92cf0,00000000000000000000000000000000,03330433043304230423042204120411,0,"B_IDLE",0,0,0433,0,0,07241d9,acc4acc4,c,8
