Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/dbg_pc[31:0],openaars_virtual_top/tg68_adr[31:0],openaars_virtual_top/tg68_dat_in[15:0],openaars_virtual_top/tg68_dat_out[15:0],openaars_virtual_top/g_cpu040_ila.bus_ctl[3:0],openaars_virtual_top/dbg_flags[3:0],openaars_virtual_top/dbg_ir[15:0],openaars_virtual_top/tg68_cpustate_1[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,4022951a,00dff01e,0040,14da,f,1,0680,1d
1,1,0,4022951a,00dff01e,0040,14da,f,1,0680,0d
2,2,0,4022951a,00dff01e,0040,14da,f,1,0680,25
3,3,0,4022951c,00dff01e,0040,14da,f,0,0481,1d
4,4,0,4022951c,00dff01e,0040,14da,f,0,0481,1d
5,5,0,4022951c,00dff01e,0040,14da,f,0,0481,0d
6,6,0,4022951c,00dff01e,0040,14da,f,0,0481,25
7,7,0,4022951c,00dff01e,0040,14da,f,1,0481,1d
8,8,0,4022951c,00dff01e,0040,14da,f,1,0481,1d
9,9,0,4022951c,00dff01e,0040,14da,f,1,0481,0d
10,10,0,4022951c,00dff01e,0040,14da,f,1,0481,25
11,11,0,40229520,00dff01e,0040,14da,f,1,0481,1d
12,12,0,40229520,00dff01e,0040,14da,f,1,0481,1d
13,13,0,40229520,00dff01e,0040,14da,f,1,0481,0d
14,14,0,40229520,00dff01e,0040,14da,f,1,0481,25
15,15,0,40229520,00dff01e,0040,14da,f,1,0481,1d
16,16,0,40229520,00dff01e,0040,14da,f,1,0481,1d
17,17,0,40229520,00dff01e,0040,14da,f,1,0481,0d
18,18,0,40229520,00dff01e,0040,14da,f,1,0481,25
19,19,0,40229520,00dff01e,0040,14da,f,0,0481,1d
20,20,0,40229520,00dff01e,0040,14da,f,0,0481,1d
21,21,0,40229520,00dff01e,0040,14da,f,0,0481,0d
22,22,0,40229520,00dff01e,0040,14da,f,0,0481,25
23,23,0,40229520,00dff01e,0040,14da,f,1,0481,1d
24,24,0,40229520,00dff01e,0040,14da,f,1,0481,1d
25,25,0,40229520,00dff01e,0040,14da,f,1,0481,0d
