Sample in Buffer,Sample in Window,TRIGGER,openaars_virtual_top/dbg_pc[31:0],openaars_virtual_top/tg68_adr[31:0],openaars_virtual_top/tg68_dat_in[15:0],openaars_virtual_top/tg68_dat_out[15:0],openaars_virtual_top/g_cpu040_ila.bus_ctl[3:0],openaars_virtual_top/dbg_flags[3:0],openaars_virtual_top/dbg_ir[15:0],openaars_virtual_top/tg68_cpustate_1[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
1,1,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
2,2,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
3,3,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
4,4,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
5,5,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
6,6,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
7,7,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
8,8,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
9,9,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
10,10,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
11,11,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
12,12,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
13,13,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
14,14,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
15,15,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
16,16,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
17,17,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
18,18,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
19,19,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
20,20,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
21,21,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
22,22,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
23,23,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
24,24,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
25,25,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
26,26,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
27,27,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
28,28,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
29,29,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
30,30,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
31,31,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
32,32,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
33,33,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
34,34,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
35,35,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
36,36,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
37,37,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
38,38,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
39,39,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
40,40,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
41,41,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
42,42,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
43,43,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
44,44,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
45,45,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
46,46,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
47,47,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
48,48,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
49,49,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
50,50,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
51,51,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
52,52,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
53,53,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
54,54,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
55,55,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
56,56,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
57,57,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
58,58,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
59,59,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
60,60,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
61,61,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
62,62,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
63,63,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
64,64,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
65,65,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
66,66,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
67,67,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
68,68,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
69,69,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
70,70,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
71,71,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
72,72,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
73,73,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
74,74,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
75,75,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
76,76,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
77,77,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
78,78,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
79,79,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
80,80,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
81,81,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
82,82,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
83,83,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
84,84,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
85,85,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
86,86,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
87,87,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
88,88,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
89,89,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
90,90,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
91,91,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
92,92,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
93,93,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
94,94,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
95,95,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
96,96,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
97,97,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
98,98,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
99,99,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
100,100,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
101,101,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
102,102,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
103,103,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
104,104,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
105,105,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
106,106,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
107,107,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
108,108,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
109,109,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
110,110,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
111,111,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
112,112,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
113,113,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
114,114,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
115,115,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
116,116,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
117,117,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
118,118,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
119,119,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
120,120,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
121,121,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
122,122,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
123,123,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
124,124,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
125,125,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
126,126,0,400b7732,00dff09a,ffff,4000,f,e,4e75,1d
127,127,0,400b7732,00dff09a,ffff,4000,f,e,4e75,2d
